Product_Name,Product_Link,Product_Price
"Google Pixel 7a (Coral, 128 GB)",https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹29,999
₹43,99931% off"
"Google Pixel 8 (Rose, 128 GB)",https://www.flipkart.com/google-pixel-8-rose-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F22JFCABET&lid=LSTMOBGT5F22JFCABETVKHMHM&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGT5F22JFCABET.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹39,999
₹75,99947% off"
"Google Pixel 8 (Obsidian, 128 GB)",https://www.flipkart.com/google-pixel-8-obsidian-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2KGVNAPYY&lid=LSTMOBGT5F2KGVNAPYYWJKL43&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGT5F2KGVNAPYY.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹39,999
₹75,99947% off"
"Google Pixel 8 (Hazel, 256 GB)",https://www.flipkart.com/google-pixel-8-hazel-256-gb/p/itm67e2a2531aaac?pid=MOBGT5F2R7MCUSWG&lid=LSTMOBGT5F2R7MCUSWGNYZQSJ&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGT5F2R7MCUSWG.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹42,999
₹82,99948% off"
"Google Pixel 8 (Hazel, 128 GB)",https://www.flipkart.com/google-pixel-8-hazel-128-gb/p/itm67e2a2531aaac?pid=MOBGT5F2WD8HPTPZ&lid=LSTMOBGT5F2WD8HPTPZ4A9QHI&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGT5F2WD8HPTPZ.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹39,999
₹75,99947% off"
"Google Pixel 8 (Mint, 128 GB)",https://www.flipkart.com/google-pixel-8-mint-128-gb/p/itm67e2a2531aaac?pid=MOBGW6NGMC7FNGMC&lid=LSTMOBGW6NGMC7FNGMCZEJQWC&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGW6NGMC7FNGMC.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹39,999
₹75,99947% off"
"Google Pixel 8a (Porcelain, 128 GB)",https://www.flipkart.com/google-pixel-8a-porcelain-128-gb/p/itm619c078bd72f7?pid=MOBGYQ2MYWFSA3XU&lid=LSTMOBGYQ2MYWFSA3XUKOBOBJ&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGYQ2MYWFSA3XU.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹43,999
₹52,99916% off"
"Google Pixel 8a (Bay, 128 GB)",https://www.flipkart.com/google-pixel-8a-bay-128-gb/p/itm6d2e15988f2c4?pid=MOBGYQ2MQYHU59Y2&lid=LSTMOBGYQ2MQYHU59Y2IR0ZZ0&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGYQ2MQYHU59Y2.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹43,999
₹52,99916% off"
"Google Pixel 8a (Obsidian, 128 GB)",https://www.flipkart.com/google-pixel-8a-obsidian-128-gb/p/itm5c791e407a330?pid=MOBGYQ2MNHZWXRNY&lid=LSTMOBGYQ2MNHZWXRNYGSN6LA&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGYQ2MNHZWXRNY.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹43,999
₹52,99916% off"
"Google Pixel 8 Pro (Obsidian, 256 GB)",https://www.flipkart.com/google-pixel-8-pro-obsidian-256-gb/p/itm51f9522df8e95?pid=MOBGUQB4VWAFZWYT&lid=LSTMOBGUQB4VWAFZWYTDRYYFB&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGUQB4VWAFZWYT.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹91,999
₹1,13,99919% off"
"Google Pixel 8 Pro (Obsidian, 128 GB)",https://www.flipkart.com/google-pixel-8-pro-obsidian-128-gb/p/itm51f9522df8e95?pid=MOBGT5F2S5RHTV6A&lid=LSTMOBGT5F2S5RHTV6AAFYXXO&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_11&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=0c8525a2-c98c-4353-ae5e-0301ac3029e2.MOBGT5F2S5RHTV6A.SEARCH&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"₹84,999
₹1,06,99920% off"
