Product_Name,Product_Link,Product_Price
"IQOO Z7 Pro 5G (Graphite Matte, 256 GB)",https://www.flipkart.com/iqoo-z7-pro-5g-graphite-matte-256-gb/p/itm5f318d2e3e6d3?pid=MOBHFTYM5FMDHS6U&lid=LSTMOBHFTYM5FMDHS6UPHIUP5&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBHFTYM5FMDHS6U.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹21,999
₹27,99921% off"
"IQOO Z9 5G (Brushed Green, 256 GB)",https://www.flipkart.com/iqoo-z9-5g-brushed-green-256-gb/p/itm4bdb51f6a3f34?pid=MOBGZYZRNM766B5F&lid=LSTMOBGZYZRNM766B5FXSNPYZ&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGZYZRNM766B5F.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹20,330
₹26,99924% off"
"IQOO Z9 5G (Graphene Blue, 128 GB)",https://www.flipkart.com/iqoo-z9-5g-graphene-blue-128-gb/p/itmc431d04755bcd?pid=MOBGZF3HFWSFMEE6&lid=LSTMOBGZF3HFWSFMEE6SQETEH&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGZF3HFWSFMEE6.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹20,990
₹24,99916% off"
"IQOO Z9s 5G (Onyx Green, 128 GB)",https://www.flipkart.com/iqoo-z9s-5g-onyx-green-128-gb/p/itm781cb1f8a8b1c?pid=MOBH46H9EUYA54HN&lid=LSTMOBH46H9EUYA54HNAGF487&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBH46H9EUYA54HN.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹22,786
₹25,99912% off"
"IQOO Z9S 5G (Titanium Matte, 256 GB)",https://www.flipkart.com/iqoo-z9s-5g-titanium-matte-256-gb/p/itme8048e0375248?pid=MOBH4BY6RSWDZF4K&lid=LSTMOBH4BY6RSWDZF4K4TKK1X&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBH4BY6RSWDZF4K.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹29,990
₹29,999"
"IQOO Neo9 Pro (Fiery Red, 256 GB)",https://www.flipkart.com/iqoo-neo9-pro-fiery-red-256-gb/p/itmbadc894a42a39?pid=MOBGYG97HGF6KZCJ&lid=LSTMOBGYG97HGF6KZCJQQIOWI&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGYG97HGF6KZCJ.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹38,500
₹41,9998% off"
"IQOO Neo9 Pro (Conqueror Black, 256 GB)",https://www.flipkart.com/iqoo-neo9-pro-conqueror-black-256-gb/p/itmbadc894a42a39?pid=MOBGYG9MRJEBMP9H&lid=LSTMOBGYG9MRJEBMP9HO68WWO&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGYG9MRJEBMP9H.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹38,830
₹41,9997% off"
"IQOO Neo9 Pro (Conqueror Black, 256 GB)",https://www.flipkart.com/iqoo-neo9-pro-conqueror-black-256-gb/p/itmbadc894a42a39?pid=MOBGYQYYURN6EFCX&lid=LSTMOBGYQYYURN6EFCXYNLNYN&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGYQYYURN6EFCX.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹40,721
₹44,9999% off"
"IQOO NEO9 PRO (Fiery Red, 256 GB)",https://www.flipkart.com/iqoo-neo9-pro-fiery-red-256-gb/p/itmbadc894a42a39?pid=MOBGYZZ9JK4WGZSG&lid=LSTMOBGYZZ9JK4WGZSG2YIW8E&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGYZZ9JK4WGZSG.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹40,457
₹44,99910% off"
"IQOO Z7 Pro 5G (Blue Lagoon, 128 GB)",https://www.flipkart.com/iqoo-z7-pro-5g-blue-lagoon-128-gb/p/itm5f318d2e3e6d3?pid=MOBHFTYM8XJSVQHZ&lid=LSTMOBHFTYM8XJSVQHZWXETJC&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBHFTYM8XJSVQHZ.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹20,999
₹26,99922% off"
"IQOO Z7 Pro 5G (Blue Lagoon, 256 GB)",https://www.flipkart.com/iqoo-z7-pro-5g-blue-lagoon-256-gb/p/itm5f318d2e3e6d3?pid=MOBHFTYMZ3NR7JHP&lid=LSTMOBHFTYMZ3NR7JHPGXC26F&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_11&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBHFTYMZ3NR7JHP.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹21,999
₹27,99921% off"
"IQOO Z7 Pro 5G (Graphite Matte, 128 GB)",https://www.flipkart.com/iqoo-z7-pro-5g-graphite-matte-128-gb/p/itm5f318d2e3e6d3?pid=MOBHFTYM8HQS9KRE&lid=LSTMOBHFTYM8HQS9KRE02CPYD&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_12&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBHFTYM8HQS9KRE.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹24,875
₹26,9997% off"
"IQOO Z9S 5G (Onyx Green, 256 GB)",https://www.flipkart.com/iqoo-z9s-5g-onyx-green-256-gb/p/itme8048e0375248?pid=MOBH4BY6ZF5FVUZJ&lid=LSTMOBH4BY6ZF5FVUZJLRAY9Q&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_13&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBH4BY6ZF5FVUZJ.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹24,990
₹27,99910% off"
"IQOO Z9S PRO 5G (Luxe Marble, 128 GB)",https://www.flipkart.com/iqoo-z9s-pro-5g-luxe-marble-128-gb/p/itm52c420f605659?pid=MOBH4FBB8DNDC9GE&lid=LSTMOBH4FBB8DNDC9GE60TTDH&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBH4FBB8DNDC9GE.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹29,999"
"IQOO Z9S PRO 5G (Flamboyant Orange, 128 GB)",https://www.flipkart.com/iqoo-z9s-pro-5g-flamboyant-orange-128-gb/p/itm0c3240bc57302?pid=MOBH4FBY2CQHPBH9&lid=LSTMOBH4FBY2CQHPBH9WY8KHM&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBH4FBY2CQHPBH9.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹26,888
₹29,99910% off"
"IQOO Z9S PRO 5G (Luxe Marble, 256 GB)",https://www.flipkart.com/iqoo-z9s-pro-5g-luxe-marble-256-gb/p/itm52c420f605659?pid=MOBH4FBEH6RSMPSN&lid=LSTMOBH4FBEH6RSMPSNERLC3O&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBH4FBEH6RSMPSN.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹33,990
₹33,999"
"IQOO Z9S PRO 5G (Flamboyant Orange, 256 GB)",https://www.flipkart.com/iqoo-z9s-pro-5g-flamboyant-orange-256-gb/p/itm0c3240bc57302?pid=MOBH4FB4HFWFF4XJ&lid=LSTMOBH4FB4HFWFF4XJJEX4WG&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBH4FB4HFWFF4XJ.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹33,999"
"IQOO Neo 9 Pro (Conqueror Black, 256 GB)",https://www.flipkart.com/iqoo-neo-9-pro-conqueror-black-256-gb/p/itmb395142fd7c8b?pid=MOBGYCSYHDHGHAHJ&lid=LSTMOBGYCSYHDHGHAHJIRDFIC&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGYCSYHDHGHAHJ.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹38,990
₹41,9997% off"
"IQOO Neo 9 Pro (Fiery Red, 256 GB)",https://www.flipkart.com/iqoo-neo-9-pro-fiery-red-256-gb/p/itmb395142fd7c8b?pid=MOBGYCSHNZHXKWAZ&lid=LSTMOBGYCSHNZHXKWAZS8YDJU&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGYCSHNZHXKWAZ.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹38,899
₹41,9997% off"
"IQOO Z5 5G (Mystic Space, 128 GB)",https://www.flipkart.com/iqoo-z5-5g-mystic-space-128-gb/p/itm548f4d274b969?pid=MOBGCV8YVBHCTSR9&lid=LSTMOBGCV8YVBHCTSR9BOSRHE&marketplace=FLIPKART&q=iqoo&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&iid=bf967b75-2300-486a-b9c6-f6c700b7d2f5.MOBGCV8YVBHCTSR9.SEARCH&ssid=w11yhvq5eo0000001729620319531&qH=1cc40088ec90b2d2,"₹23,990
₹29,99920% off"
