Product_Name,Product_Link,Product_Price
"Xiaomi 11T Pro 5G Hyperphone (Moonlight White, 256 GB)",https://www.flipkart.com/xiaomi-11t-pro-5g-hyperphone-moonlight-white-256-gb/p/itmc9e9597986ec5?pid=MOBGB74URFDJ3EGH&lid=LSTMOBGB74URFDJ3EGHWPSDGQ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_1&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBGB74URFDJ3EGH.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹22,599
₹52,99957% off"
"Xiaomi 14 CIVI (Cruise Blue, 512 GB)",https://www.flipkart.com/xiaomi-14-civi-cruise-blue-512-gb/p/itm21456ebc14d31?pid=MOBHFGU7P4NPRCCR&lid=LSTMOBHFGU7P4NPRCCRAEDANA&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_2&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBHFGU7P4NPRCCR.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹45,999
₹59,99923% off"
"Xiaomi 14 CIVI (Matcha Green, 256 GB)",https://www.flipkart.com/xiaomi-14-civi-matcha-green-256-gb/p/itm79eae844cf78a?pid=MOBHFGU7DP9WMCHS&lid=LSTMOBHFGU7DP9WMCHSAI0RN2&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_3&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBHFGU7DP9WMCHS.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹40,999
₹54,99925% off"
"Xiaomi 14 CIVI (Shadow Black, 512 GB)",https://www.flipkart.com/xiaomi-14-civi-shadow-black-512-gb/p/itm23d1de67ebc77?pid=MOBHFGU75KAEJQGN&lid=LSTMOBHFGU75KAEJQGNZW1SUF&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_4&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBHFGU75KAEJQGN.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹45,999
₹59,99923% off"
"Xiaomi 14 CIVI (Cruise Blue, 256 GB)",https://www.flipkart.com/xiaomi-14-civi-cruise-blue-256-gb/p/itm34da1cf159d63?pid=MOBHFGU7WVYJPNEV&lid=LSTMOBHFGU7WVYJPNEVBSUPQH&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_5&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBHFGU7WVYJPNEV.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹40,999
₹54,99925% off"
"Xiaomi 14 CIVI (Shadow Black, 256 GB)",https://www.flipkart.com/xiaomi-14-civi-shadow-black-256-gb/p/itmdf7287cef4f11?pid=MOBHFGU7EJXG5M4M&lid=LSTMOBHFGU7EJXG5M4MD7JVA7&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_6&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBHFGU7EJXG5M4M.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹40,999
₹54,99925% off"
"Xiaomi 14 CIVI (Hot Pink, 512 GB)",https://www.flipkart.com/xiaomi-14-civi-hot-pink-512-gb/p/itma806668ba2f45?pid=MOBH3YHAWYUWU4SH&lid=LSTMOBH3YHAWYUWU4SHHJYXWY&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_7&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBH3YHAWYUWU4SH.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹46,999
₹59,99921% off"
"Xiaomi 14 CIVI (Matcha Green, 512 GB)",https://www.flipkart.com/xiaomi-14-civi-matcha-green-512-gb/p/itm6683aeab2b5bd?pid=MOBHFGU7HKHZCJGE&lid=LSTMOBHFGU7HKHZCJGERFB280&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_8&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBHFGU7HKHZCJGE.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹45,999
₹59,99923% off"
"Mi 11 Lite (Vinyl Black, 128 GB)",https://www.flipkart.com/mi-11-lite-vinyl-black-128-gb/p/itmac6203bae9394?pid=MOBG3VSKRKGZKJAR&lid=LSTMOBG3VSKRKGZKJAR9UUSWD&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_9&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBG3VSKRKGZKJAR.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹23,999
₹25,9997% off"
"Xiaomi 14 CIVI (Panda White, 512 GB)",https://www.flipkart.com/xiaomi-14-civi-panda-white-512-gb/p/itm2923c672161ab?pid=MOBH3YHARFSTRHHT&lid=LSTMOBH3YHARFSTRHHTFOOBFZ&marketplace=FLIPKART&store=tyy%2F4io&srno=b_1_10&otracker=nmenu_sub_Electronics_0_Mi&iid=746e621c-ae5e-4620-b312-5b1d1c2d8186.MOBH3YHARFSTRHHT.SEARCH&ssid=5wi2etcwgg0000001729622300845,"₹46,999
₹59,99921% off"
