Product_Link,Review,Rating
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"When you go with Google as a brand, of course you want performance with premium touch, which pixel 7A does provide without a doubt.

1. Camera is 10/10
2. The battery is good as of now, and will improve as it studies usage patterns and makes adjustments in background apps.
3. Design is awesome, the colour is awesome. The body is light weight but strong and durable.
4. 90Hz refresh rate, it doesn't feel like it is lacking 120Hz at all. Its smooth as Cream.
5. There is a little heat issue specially on left edge.
6. Tensor G2 processor, didn't really tried gaming, but multitasking is easy and chill.
7. For charging there is an adaptive mode which slows charging, switched it off and was charging fine, 30 minutes to 50-60% battery.",4
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,Nice Phone,4
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Google need to fix the battery issue and heating issue.
Overall phone awesome",5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Migrated from iPhone 14 to Pixel7a. Amazing Pixel is blockbuster and Photos are sharp. Display is amazing and buttery smooth. Battery backup is good with 50% consumption in half day at moderate usage and charges mobile with apple adapter at 20% in 30mins, wireless charging at 2% in 5 minutes. Have used Costar 33w fast charger to charge Pixel7a by 40% in 35 mins. Live Captions on voice call is great feature !!! Fingerprint unlocking using screen protector has issues and it works well only if we enroll four times same finger with the screen protector and the protector mode On in settings. Installing Android 14 version has improved battery performance and improved fingerprint unlocking.",5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Very good phone photography, average mobile performance",4
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Reviewing after 6 days, purchased 2 Pixel 7a (white and coral) in Big billion sale.
Pros:
excelllent build quality.
display is bright enough in full sunlight.
battery drops down to 30% end of the day which is more than enough for a average or higher average user. (AI optimizes battery as per user's usage)
no network issue found yet .. call quality is very good till now as compared to pixel 4a.
phones heats up during first set up but after andriod 14 update no such heavy heating observed.

cons:
thick bezel.
charging is a bit slow.

so all those youtuber's who gave negetive feedback either did not get paid by google or the issues has been fixed by google with OTA updates.",5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,Nice design and colour camer is at its peak as far as now,5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Its extraordinary, something new, everything thing is good about this phone except the battery life",4
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Camera Is Excellent.
Processor is good for light gaming
Software experience is excellent
Charging is too slow
Battery backup is good
Overall phone is good for premium users",4
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,Excellent camera design battery only early dry,4
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"I'm using pixel since 4months, camera is awesome but
If you r interested in gaming and using device maximum times. then its not for you.",3
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"A great camera phone. The colour science is pretty good. And the display is decent enough. But the night videos are not worth it.
And it is not made for extensive gaming.",5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,Very good phone camera is next level 😍👌,5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Update:
Heats a Lot , if you are living in a state with more than 32 degree. dont go for it because it heats a lot

Pros.

Camera
Os
Display
Chip(not for extreme gaming) - optimized with os makes a better user experience. The chip delivers near flagship grade performance. But not the best chip for long gaming sessions

Cons

Charging time is a high

Heating is Normal but some times it heats a little. Maybe it's because of the two x1 chip design and the x1 is an ML powerhouse which is a big part of a Google design",5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,Camera and Pixel Experience,5
https://www.flipkart.com/google-pixel-7a-coral-128-gb/p/itmb4d7b100b1a4d?pid=MOBGT5F26QJYZUZS&lid=LSTMOBGT5F26QJYZUZSERFRRN&marketplace=FLIPKART&q=google+pixel+8&store=tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&otracker1=AS_QueryStore_OrganicAutoSuggest_1_3_na_na_na&iid=en_ewBSUuH8qPeAhJMufpBaIm5Tmo7Cc9hjdrAUHt9rXRtInqksGt5UHhPGKEjKHth-tOuIgXphubz5QYUfuLWtjfUFjCTyOHoHZs-Z5_PS_w0%3D&ssid=zj6tbnwnvk0000001729618782857&qH=cb4644edceff5a2b,"Using it for two days now, I can see why people are complaining about the heating but I haven't bought it for gaming so not a problem for me, camera design build quality and os are perfect, the only complaint I have is that they should include screen protector in box as this is recent release and its not available anywhere in market also the 2 other accessories in box are completely useless. If anyone is looking for this details but 7 back cover fits fine and custom cut screen protector for Samsung A52 also works for the time being. I was waiting for this for last 3 months so I am little biased but all there is not a single thing in this phone that makes it a deal breaker..",5
